year,value,metric,iso_code
2015,72.3,Seconday Education rate (25 and older),TTO
2015,43.4,Seconday Education rate (25 and older),TUN
2015,52.2,Seconday Education rate (25 and older),TUR
2015,30.8,Seconday Education rate (25 and older),UGA
2015,95.1,Seconday Education rate (25 and older),UKR
2015,67.7,Seconday Education rate (25 and older),ARE
2015,82.9,Seconday Education rate (25 and older),GBR
2015,95.3,Seconday Education rate (25 and older),USA
2015,54.1,Seconday Education rate (25 and older),URY
2015,99.9,Seconday Education rate (25 and older),UZB
2015,68.9,Seconday Education rate (25 and older),VEN
2015,71.7,Seconday Education rate (25 and older),VNM
2015,24.4,Seconday Education rate (25 and older),YEM
2015,40.4,Seconday Education rate (25 and older),ZMB
2015,60.8,Seconday Education rate (25 and older),ZWE
2016,23.2,Seconday Education rate (25 and older),AFG
2016,92.9,Seconday Education rate (25 and older),ALB
2016,36.4,Seconday Education rate (25 and older),DZA
2016,72.5,Seconday Education rate (25 and older),AND
2016,30.0,Seconday Education rate (25 and older),AGO
2016,54.7,Seconday Education rate (25 and older),ARG
2016,97.2,Seconday Education rate (25 and older),ARM
2016,90.4,Seconday Education rate (25 and older),AUS
2016,100.0,Seconday Education rate (25 and older),AUT
2016,95.6,Seconday Education rate (25 and older),AZE
2016,87.5,Seconday Education rate (25 and older),BHS
2016,69.9,Seconday Education rate (25 and older),BHR
2016,41.5,Seconday Education rate (25 and older),BGD
2016,92.6,Seconday Education rate (25 and older),BRB
2016,91.9,Seconday Education rate (25 and older),BLR
2016,84.8,Seconday Education rate (25 and older),BEL
2016,78.3,Seconday Education rate (25 and older),BLZ
2016,24.3,Seconday Education rate (25 and older),BEN
2016,21.6,Seconday Education rate (25 and older),BTN
2016,57.4,Seconday Education rate (25 and older),BOL
2016,81.2,Seconday Education rate (25 and older),BIH
2016,88.4,Seconday Education rate (25 and older),BWA
2016,58.2,Seconday Education rate (25 and older),BRA
2016,69.3,Seconday Education rate (25 and older),BRN
2016,95.1,Seconday Education rate (25 and older),BGR
2016,8.5,Seconday Education rate (25 and older),BFA
2016,8.7,Seconday Education rate (25 and older),BDI
2016,29.6,Seconday Education rate (25 and older),CPV
2016,20.1,Seconday Education rate (25 and older),KHM
2016,36.2,Seconday Education rate (25 and older),CMR
2016,100.0,Seconday Education rate (25 and older),CAN
2016,21.6,Seconday Education rate (25 and older),CAF
2016,5.8,Seconday Education rate (25 and older),TCD
2016,78.9,Seconday Education rate (25 and older),CHL
2016,77.4,Seconday Education rate (25 and older),CHN
2016,52.0,Seconday Education rate (25 and older),COL
2016,48.4,Seconday Education rate (25 and older),COG
2016,50.7,Seconday Education rate (25 and older),COD
2016,52.9,Seconday Education rate (25 and older),CRI
2016,95.7,Seconday Education rate (25 and older),HRV
2016,86.9,Seconday Education rate (25 and older),CUB
2016,80.3,Seconday Education rate (25 and older),CYP
2016,99.8,Seconday Education rate (25 and older),CZE
2016,25.5,Seconday Education rate (25 and older),CIV
2016,89.3,Seconday Education rate (25 and older),DNK
2016,56.7,Seconday Education rate (25 and older),DOM
2016,51.9,Seconday Education rate (25 and older),ECU
2016,70.4,Seconday Education rate (25 and older),EGY
2016,43.2,Seconday Education rate (25 and older),SLV
2016,100.0,Seconday Education rate (25 and older),EST
2016,30.1,Seconday Education rate (25 and older),SWZ
